정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수
S090001509,경기도교육청,경기도김포교육지원청,경기도 김포시,김포초등학교,공립,6,1,5,2024-12-26,2024-12-14 04:48:00.000000,198.0,187.0,초,0.0,8.0,8.0,208.0,2.19722457733622,0.1666666666666666,0.5806327879665873,0.206043956043956,32.67985602151332,고위험,207.2665701945224
S090001774,경기도교육청,경기도동두천양주교육지원청,경기도 양주시,덕정중학교,공립,6,0,6,2025-02-28,2025-01-23 20:00:00.000000,158.0,123.0,중,0.0,17.0,17.0,372.0,2.8903717578961645,0.0,0.7638020388802209,0.0961538461538461,29.93411673976808,고위험,207.19133643707744
S130000551,전북특별자치도교육청,전북특별자치도군산교육지원청,전북특별자치도 군산시,군산영광중학교,사립,6,1,5,2025-02-19,2025-02-12 00:00:00.000000,139.0,132.0,중,0.0,8.0,8.0,366.0,2.19722457733622,0.1666666666666666,0.5806327879665873,0.0439560439560439,30.000542834700127,고위험,207.1646039116652
S090005691,경기도교육청,경기도파주교육지원청,경기도 파주시,한빛중학교,공립,6,0,6,2024-12-26,2024-10-23 20:00:00.000000,250.0,187.0,중,0.0,7.0,7.0,1009.0,2.079441541679836,0.0,0.5495077527409008,0.3489010989010989,26.159567869049997,고위험,207.1237572676445
S160000685,경상남도교육청,경상남도교육청,경상남도 남해군,창선고등학교,사립,6,1,5,2024-12-04,2024-11-26 19:12:00.000000,216.0,209.0,고,0.0,8.0,8.0,177.0,2.19722457733622,0.1666666666666666,0.5806327879665873,0.2554945054945055,33.4972736039309,고위험,207.0728949444133
S050000149,광주광역시교육청,광주광역시교육청,광주광역시 남구,송원고등학교,사립,6,0,6,2025-02-20,2025-01-06 12:00:00.000000,175.0,131.0,고,0.0,13.0,13.0,560.0,2.639057329615259,0.0,0.6973903490356274,0.1428571428571428,28.241584424140697,고위험,207.00293175870823
S130001402,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,전주서중학교,공립,6,1,5,2025-02-12,2025-01-11 09:36:00.000000,170.0,139.0,중,0.0,5.0,5.0,689.0,1.791759469228055,0.1666666666666666,0.4734856448969273,0.1291208791208791,27.43208708065977,고위험,206.74718020520143
S130001386,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,완산중학교,사립,6,1,5,2025-02-28,2025-02-04 04:48:00.000000,146.0,123.0,중,0.0,7.0,7.0,439.0,2.079441541679836,0.1666666666666666,0.5495077527409008,0.0631868131868131,29.16337739285952,고위험,206.67428585912256
S090002781,경기도교육청,경기도시흥교육지원청,경기도 시흥시,장곡초등학교,공립,6,1,5,2025-02-28,2025-02-18 04:48:00.000000,132.0,123.0,초,1.0,6.0,7.0,514.0,2.079441541679836,0.1666666666666666,0.5495077527409008,0.0247252747252747,28.527608162090285,고위험,206.65875480291908
S030000632,대구광역시교육청,대구광역시동부교육지원청,대구광역시 수성구,덕화중학교,공립,6,0,6,2025-02-24,2025-02-12 16:00:00.000000,138.0,127.0,중,0.0,19.0,19.0,353.0,2.995732273553991,0.0,0.7916443316431058,0.0412087912087912,30.05910246595697,고위험,206.48489978097004
S090002943,경기도교육청,경기도안성교육지원청,경기도 안성시,문기초등학교,공립,6,1,5,2025-02-25,2025-02-13 14:24:00.000000,137.0,126.0,초,0.0,7.0,7.0,480.0,2.079441541679836,0.1666666666666666,0.5495077527409008,0.0384615384615384,28.754668601650724,고위험,206.33968528132323
S010002355,서울특별시교육청,서울특별시중부교육지원청,서울특별시 용산구,용강중학교,공립,6,1,5,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,6.0,6.0,801.0,1.9459101490553128,0.1666666666666666,0.5142210981219936,0.0,26.80941161797385,고위험,206.08685882036332
S090002188,경기도교육청,경기도성남교육지원청,경기도 성남시 수정구,성남여자중학교,공립,6,0,6,2025-02-25,2025-02-11 00:00:00.000000,140.0,126.0,중,0.0,17.0,17.0,432.0,2.8903717578961645,0.0,0.7638020388802209,0.0467032967032967,29.116699157350496,고위험,205.8765432467765
S160001787,경상남도교육청,양산교육지원청,경상남도 양산시,양산여자중학교,사립,6,0,6,2025-02-17,2024-11-28 20:00:00.000000,214.0,134.0,중,0.0,9.0,9.0,815.0,2.302585092994046,0.0,0.6084750807294722,0.25,26.71301024587072,고위험,205.8080996025896
S150002022,경상북도교육청,경상북도상주교육지원청,경상북도 상주시,낙운중학교,공립,6,3,3,2025-02-11,2025-02-06 16:00:00.000000,144.0,140.0,중,0.0,6.0,6.0,42.0,1.9459101490553128,0.5,0.5142210981219936,0.0576923076923076,43.21639879746103,고위험,205.76192295433057
S090007217,경기도교육청,경기도화성오산교육지원청,경기도 오산시,다온초등학교,공립,6,0,6,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,초,0.0,14.0,14.0,851.0,2.70805020110221,0.0,0.7156222237991322,0.0,26.5567407251858,고위험,205.7506466389489
S010000448,서울특별시교육청,서울특별시교육청,서울특별시 관악구,삼성고등학교,공립,6,1,5,2025-02-25,2025-02-08 14:24:00.000000,142.0,126.0,고,0.0,9.0,9.0,269.0,2.302585092994046,0.1666666666666666,0.6084750807294722,0.0521978021978022,31.17000658286705,고위험,205.67285589851383
S090004318,경기도교육청,경기도화성오산교육지원청,경기도 오산시,성호초등학교,공립,6,1,5,2024-12-04,2024-12-02 19:12:00.000000,210.0,209.0,초,0.0,7.0,7.0,223.0,2.079441541679836,0.1666666666666666,0.5495077527409008,0.239010989010989,32.069751019233145,고위험,205.61989250644032
